n	∆_{(n)}
 	p_{n+1} - p_n
2467	4
2468	6
2469	2
2470	12
2471	12
2472	4
2473	6
2474	6
2475	12
2476	2
2477	16
2478	2
2479	12
2480	6
2481	4
2482	14
2483	6
2484	4
2485	2
2486	12
2487	18
2488	4
2489	36
2490	18
2491	12
2492	12
2493	2
2494	4
2495	2
2496	4
2497	8
2498	12
2499	4
2500	36
2501	6
2502	18
2503	2
2504	12
2505	10
2506	6
2507	12
2508	24
2509	8
2510	6
2511	6
2512	16
2513	12
2514	2
2515	18
2516	10
2517	20
2518	10
2519	2
2520	6
2521	18
2522	4
2523	2
2524	40
2525	6
2526	2
2527	16
2528	2
2529	4
2530	8
2531	18
2532	10
2533	12
2534	6
2535	2
2536	10
2537	8
2538	4
2539	6
2540	12
2541	2
2542	10
2543	18
2544	8
2545	6
2546	4
2547	20
2548	4
2549	6
2550	36
2551	6
2552	2
2553	10
2554	6
2555	24
2556	6
2557	14
2558	16
2559	6
2560	18
2561	2
2562	10
2563	20
2564	10
2565	8
2566	6
2567	4
2568	6
2569	2
2570	10
2571	2
2572	12
2573	4
2574	2
2575	4
2576	8
2577	10
2578	6
2579	12
2580	18
2581	14
2582	12
2583	16
2584	8
2585	6
2586	16
2587	8
2588	4
2589	2
2590	6
2591	18
2592	24
2593	18
2594	10
2595	12
2596	2
2597	4
2598	14
2599	10
2600	6
2601	6
2602	6
2603	18
2604	12
2605	2
2606	28
2607	18
2608	14
2609	16
2610	12
2611	14
2612	24
2613	12
2614	22
2615	6
2616	2
2617	10
2618	8
2619	4
2620	2
2621	4
2622	14
2623	12
2624	6
2625	4
2626	6
2627	14
2628	4
2629	2
2630	4
2631	30
2632	6
2633	2
2634	6
2635	10
2636	2
2637	30
2638	22
2639	2
2640	4
2641	6
2642	8
2643	6
2644	6
2645	16
2646	12
2647	12
2648	6
2649	8
2650	4
2651	2
2652	24
2653	12
2654	4
2655	6
2656	8
2657	6
2658	6
2659	10
2660	2
2661	6
2662	12
2663	28
2664	14
2665	6
2666	4
2667	12
2668	8
2669	6
2670	12
2671	4
2672	6
2673	14
2674	6
2675	12
2676	10
2677	6
2678	6
2679	8
2680	6
2681	6
2682	4
2683	2
2684	4
2685	8
2686	12
2687	4
2688	14
2689	18
2690	10
2691	2
2692	16
2693	6
2694	20
2695	6
2696	10
2697	8
2698	4
2699	30
2700	36
2701	12
2702	8
2703	22
2704	12
2705	2
2706	6
2707	12
2708	16
2709	6
2710	6
2711	2
2712	18
2713	4
2714	26
2715	4
2716	8
2717	18
2718	10
2719	8
2720	10
2721	6
2722	14
2723	4
2724	20
2725	22
2726	18
2727	12
2728	8
2729	28
2730	12
2731	6
2732	6
2733	8
2734	6
2735	12
2736	24
2737	16
2738	14
2739	4
2740	14
2741	12
2742	6
2743	10
2744	12
2745	20
2746	6
2747	4
2748	8
2749	18
2750	12
2751	18
2752	10
2753	2
2754	4
2755	20
2756	10
2757	14
2758	4
2759	6
2760	2
2761	10
2762	24
2763	18
2764	2
2765	4
2766	20
2767	16
2768	14
2769	10
2770	14
2771	6
2772	4
2773	6
2774	20
2775	6
2776	10
2777	6
2778	2
2779	12
2780	6
2781	30
2782	10
2783	8
2784	6
2785	4
2786	6
2787	8
2788	40
2789	2
2790	4
2791	2
2792	12
2793	18
2794	4
2795	6
2796	8
2797	10
2798	6
2799	18
2800	18
2801	2
2802	12
2803	16
2804	8
2805	6
2806	4
2807	6
2808	6
2809	2
2810	52
2811	14
2812	4
2813	20
2814	16
2815	2
2816	4
2817	6
2818	12
2819	2
2820	6
2821	12
2822	12
2823	6
2824	4
2825	14
2826	10
2827	6
2828	6
2829	14
2830	10
2831	14
2832	16
2833	8
2834	6
2835	12
2836	4
2837	8
2838	22
2839	6
2840	2
2841	18
2842	22
2843	6
2844	2
2845	18
2846	6
2847	16
2848	14
2849	10
2850	6
2851	12
2852	2
2853	6
2854	4
2855	8
2856	18
2857	12
